classifier_name,dataset_name,accuracy
Trans,FaceDetection,0.522417707150965
Trans,SelfRegulationSCP1,0.815699658703072
Trans,SelfRegulationSCP2,0.505555555555556
Trans,ArticularyWordRecognition,0.736666666666667
Trans,PhonemeSpectra,0.051893826424098
Trans,Heartbeat,0.692682926829268
Trans,PenDigits,0.544311034877073
Trans,StandWalkJump,0.466666666666667
Trans,LSST,0.467153284671533
Trans,UWaveGestureLibrary,0.434375
Trans,MotorImagery,0.56
Trans,JapaneseVowels,0.867567567567568
Trans,BasicMotions,0.525
Trans,NATOPS,0.577777777777778
Trans,Handwriting,0.072941176470588
Trans,Cricket,0.791666666666667
Trans,ERing,0.677777777777778
Trans,RacketSports,0.598684210526316
Trans,SpokenArabicDigits,0.755343337880855
Trans,InsectWingbeat,0.18984
Trans,CharacterTrajectories,0.758356545961003
Trans,FingerMovements,0.6
Trans,EthanolConcentration,0.247148288973384
Trans,Epilepsy,0.572463768115942
Trans,EigenWorms,0.534351145038168
Trans,HandMovementDirection,0.378378378378378
Trans,AtrialFibrillation,0.466666666666667
Trans,Libras,0.266666666666667
Trans,PEMS-SF,0.711
Trans,DuckDuckGeese,0.62
CNN+Trans,FaceDetection,0.538592508513053
CNN+Trans,SelfRegulationSCP1,0.853242320819113
CNN+Trans,SelfRegulationSCP2,0.544444444444444
CNN+Trans,ArticularyWordRecognition,0.95
CNN+Trans,PhonemeSpectra,0.172382940650164
CNN+Trans,Heartbeat,0.726829268292683
CNN+Trans,PenDigits,0.39136649514008
CNN+Trans,StandWalkJump,0.133333333333333
CNN+Trans,LSST,0.170721816707218
CNN+Trans,UWaveGestureLibrary,0.846875
CNN+Trans,MotorImagery,0.55
CNN+Trans,JapaneseVowels,0.943243243243243
CNN+Trans,BasicMotions,0.9
CNN+Trans,NATOPS,0.883333333333333
CNN+Trans,Handwriting,0.182352941176471
CNN+Trans,Cricket,0.972222222222222
CNN+Trans,ERing,0.811111111111111
CNN+Trans,RacketSports,0.657894736842105
CNN+Trans,SpokenArabicDigits,0.950886766712142
CNN+Trans,InsectWingbeat,0.29092
CNN+Trans,CharacterTrajectories,0.990947075208914
CNN+Trans,FingerMovements,0.59
CNN+Trans,EthanolConcentration,0.269961977186312
CNN+Trans,Epilepsy,0.956521739130435
CNN+Trans,EigenWorms,0.534351145038168
CNN+Trans,HandMovementDirection,0.283783783783784
CNN+Trans,AtrialFibrillation,0.2
CNN+Trans,Libras,0.783333333333333
CNN+Trans,PEMS-SF,0.682
CNN+Trans,DuckDuckGeese,0.62
CNN,FaceDetection,0.543700340522134
CNN,SelfRegulationSCP1,0.709897610921502
CNN,SelfRegulationSCP2,0.511111111111111
CNN,ArticularyWordRecognition,0.953333333333333
CNN,PhonemeSpectra,0.173277661795407
CNN,Heartbeat,0.741463414634146
CNN,PenDigits,0.363636363636364
CNN,StandWalkJump,0.266666666666667
CNN,LSST,0.359286293592863
CNN,UWaveGestureLibrary,0.671875
CNN,MotorImagery,0.44
CNN,JapaneseVowels,0.967567567567568
CNN,BasicMotions,0.9
CNN,NATOPS,0.861111111111111
CNN,Handwriting,0.155294117647059
CNN,Cricket,0.972222222222222
CNN,ERing,0.8
CNN,RacketSports,0.638157894736842
CNN,SpokenArabicDigits,0.949067758071851
CNN,InsectWingbeat,0.30728
CNN,CharacterTrajectories,0.987465181058496
CNN,FingerMovements,0.54
CNN,EthanolConcentration,0.281368821292776
CNN,Epilepsy,0.91304347826087
CNN,EigenWorms,0.419847328244275
CNN,HandMovementDirection,0.216216216216216
CNN,AtrialFibrillation,0.333333333333333
CNN,Libras,0.644444444444444
CNN,PEMS-SF,0.699
CNN,DuckDuckGeese,0.62
